Last,login:,Thu,Jun,14,16:18:15,on,ttys000
Laurens-MacBook-Pro:~,laurenrollit$,/Users/laurenrollit/Downloads/stanford-ner-2018-02-27/ner-gui.command,;,exit;
Loading,classifier,from,/Users/laurenrollit/Downloads/stanford-ner-2018-02-27/classifiers/english.all.3class.distsim.crf.ser.gz,...,done,[2.2,sec].
content,type:,text/rtf
new-document,No14_Canadian_General_Hospital,CAMC_Regimental_Depot<br>
new-document,No14_Canadian_General_Hospital,CAMC_Regimental_Depot<br>
new-document,CAMC_Regimental_Depot,No14_Canadian_General_Hospital<br>
new-document,No14_Canadian_General_Hospital,CAMC_Reserve_and_Training_Depot<br>
new-document,Princess_Patricia_Canadian_Red_Cross_Hospital,No14_Canadian_General_Hospital<br>
new-document,CAMC_Reserve_and_Training_Depot,No14_Canadian_General_Hospital<br>
new-document,No14_Canadian_General_Hospital,VAD_Headquarters<br>
new-document,No14_Canadian_General_Hospital,No7_Canadian_General_Hospital<br>
new-document,No13_Canadian_General_Hospital,No14_Canadian_General_Hospital<br>
new-document,Granville_Canadian_Special_Hospital,No14_Canadian_General_Hospital<br>
new-document,CAMC_Reserve_and_Training_Depot,No14_Canadian_General_Hospital<br>
new-document,No14_Canadian_General_Hospital,CAMC_Regimental_Depot<br>
new-document,No14_Canadian_General_Hospital,CAMC_Reserve_and_Trainng_Depot<br>
new-document,No13_Canadian_General_Hospital,No14_Canadian_General_Hospital<br>
new-document,No14_Canadian_General_Hospital,Bromley_Convalescent_Hospital<br>
new-document,CAMC_Casualty_Coy,No14_Canadian_General_Hospital<br>
new-document,CAMC_Reserve_and_Training_Depot,No14_Canadian_General_Hospital<br>
new-document,No14_Canadian_General_Hospital,CAMC_Regimental_Depot<br>
new-document,No14_Canadian_General_Hospital,CAMC_Regimental_Depot<br>
new-document,No15_Canadian_General_Hospital,No14_Canadian_General_Hospital<br>
new-document,MAT_ARUGUATA,No14_Canadian_General_Hospital<br>
new-document,Overseas,No14_Canadian_General_Hospital<br>
